2017-12-17 12:38:56,125 [main] INFO  marytts.HTSEngine Module started (TARGETFEATURES->AUDIO, locale null).
2017-12-17 12:38:56,138 [main] INFO  marytts.HMMData Loading Tree Set in CARTs:
2017-12-17 12:38:56,186 [main] INFO  marytts.HMMData Loading GV Model Set:
2017-12-17 12:38:56,283 [main] INFO  marytts.Voice Registering voice `cmu-rms-hsmm': male, locale en_US
2017-12-17 12:38:56,283 [main] INFO  marytts.Voice New default voice for locale en_US: cmu-rms-hsmm (desire 0)
2017-12-17 12:38:56,287 [main] INFO  marytts.HMMData Loading Tree Set in CARTs:
2017-12-17 12:38:56,313 [main] INFO  marytts.HMMData Loading GV Model Set:
2017-12-17 12:38:56,386 [main] INFO  marytts.Voice Registering voice `cmu-slt-hsmm': female, locale en_US
2017-12-17 12:38:56,388 [main] INFO  marytts.HMMData Loading Tree Set in CARTs:
2017-12-17 12:38:56,417 [main] INFO  marytts.HMMData Loading GV Model Set:
2017-12-17 12:38:56,471 [main] INFO  marytts.Voice Registering voice `dfki-poppy-hsmm': female, locale en_GB
2017-12-17 12:38:56,471 [main] INFO  marytts.Voice New default voice for locale en_GB: dfki-poppy-hsmm (desire 0)
2017-12-17 12:38:56,471 [main] INFO  marytts.HMMSynthesizer started.
2017-12-17 12:38:56,471 [main] INFO  marytts.Synthesis Module started (ACOUSTPARAMS->AUDIO, locale null).
2017-12-17 12:38:56,471 [main] INFO  marytts.HMMSynthesizer Starting power-on self test.
2017-12-17 12:38:56,471 [main] INFO  marytts.HMMSynthesizer Power-on self test complete.
2017-12-17 12:38:56,472 [main] INFO  marytts.TextToMaryXML Module started (TEXT->RAWMARYXML, locale null).
2017-12-17 12:38:56,472 [main] INFO  marytts.TextToMaryXML Starting power-on self test.
2017-12-17 12:38:56,472 [main] WARN  marytts.TextToMaryXML Locale is null, overriding with nl_NL
2017-12-17 12:38:56,472 [main] WARN  marytts.TextToMaryXML Locale is null, overriding with nl_NL
2017-12-17 12:38:56,473 [main] INFO  marytts.TextToMaryXML Power-on self test complete.
2017-12-17 12:38:56,618 [main] INFO  marytts.SableParser Module started (SABLE->RAWMARYXML, locale null).
2017-12-17 12:38:56,618 [main] INFO  marytts.SableParser Starting power-on self test.
2017-12-17 12:38:56,618 [main] INFO  marytts.SableParser Power-on self test complete.
2017-12-17 12:38:56,663 [main] INFO  marytts.SSMLParser Module started (SSML->RAWMARYXML, locale null).
2017-12-17 12:38:56,664 [main] INFO  marytts.SSMLParser Starting power-on self test.
2017-12-17 12:38:56,664 [main] INFO  marytts.SSMLParser Power-on self test complete.
2017-12-17 12:38:56,703 [main] INFO  marytts.APMLParser Module started (APML->RAWMARYXML, locale null).
2017-12-17 12:38:56,703 [main] INFO  marytts.APMLParser Starting power-on self test.
2017-12-17 12:38:56,703 [main] INFO  marytts.APMLParser Power-on self test complete.
2017-12-17 12:38:56,722 [main] INFO  marytts.EmotionmlParser Module started (EMOTIONML->RAWMARYXML, locale null).
2017-12-17 12:38:56,722 [main] INFO  marytts.EmotionmlParser Starting power-on self test.
2017-12-17 12:38:56,722 [main] INFO  marytts.EmotionmlParser Power-on self test complete.
2017-12-17 12:38:56,722 [main] INFO  marytts.JTokeniser Module started (RAWMARYXML->TOKENS, locale null).
2017-12-17 12:38:56,733 [main] INFO  marytts.JTokeniser Starting power-on self test.
2017-12-17 12:38:56,733 [main] INFO  marytts.JTokeniser Power-on self test complete.
2017-12-17 12:38:56,733 [main] INFO  marytts.DummyTokens2Words Module started (TOKENS->WORDS, locale null).
2017-12-17 12:38:56,733 [main] INFO  marytts.DummyTokens2Words Starting power-on self test.
2017-12-17 12:38:56,733 [main] INFO  marytts.DummyTokens2Words Power-on self test complete.
2017-12-17 12:38:56,736 [main] INFO  marytts.Prosody Module started (PHONEMES->INTONATION, locale null).
2017-12-17 12:38:56,736 [main] INFO  marytts.Prosody Starting power-on self test.
2017-12-17 12:38:56,736 [main] INFO  marytts.Prosody Power-on self test complete.
2017-12-17 12:38:56,736 [main] INFO  marytts.PronunciationModel Module started (INTONATION->ALLOPHONES, locale null).
2017-12-17 12:38:56,737 [main] INFO  marytts.PronunciationModel Starting power-on self test.
